TCID;ID;Title;Description;Author;Importance;Pos/Neg;Automation;TCMS Case ID;#;Step;Expected Result;Type;_polarion
1;;;;;;;;;13;"Scenario 7: no PCI and wrong mac
 # cat net9.xml 
 <interface type='network'>
       <source network='default'/>
  <mac address='52:54:00:76:80:66'/>
       <model type='rtl8139'/>
     </interface>
 # virsh detach-device rhel7.4 net9.xml 
​​";"error: Failed to detach device from net9.xml
 error: operation failed: no device matching MAC address 52:54:00:76:80:66 found
 
​​";;RedHatEnterpriseLinux7/RHEL-111042
1;;;;;;;;;14;login guest to check the interface still exists;​​;;RedHatEnterpriseLinux7/RHEL-111042
1;;;;;;;;;15;"Scenario 8: detach-interface when there are multiple interface with the same mac
 # virsh dumpxml rhel7.4 | grep /interface -B7
     <interface type='network'>
       <mac address='52:54:00:8c:2a:67'/>
       <source network='default' bridge='virbr0'/>
       <target dev='vnet0'/>
       <model type='rtl8139'/>
       <alias name='net0'/>
       <address type='pci' domain='0x0000' bus='0x00' slot='0x09' function='0x0'/>
     </interface>
     <interface type='network'>
       <mac address='52:54:00:8c:2a:67'/>
       <source network='isolated' bridge='virbr2'/>
       <target dev='vnet1'/>
       <model type='rtl8139'/>
       <alias name='net1'/>
       <address type='pci' domain='0x0000' bus='0x00' slot='0x03' function='0x0'/>
     </interface>
​​";​​;;RedHatEnterpriseLinux7/RHEL-111042
1;;;;;;;;;16;" # cat net11.xml 
 <interface type='network'>
       <mac address='52:54:00:8c:2a:67'/>
       <source network='isolated' bridge='virbr2'/>
     </interface>
 
 # virsh detach-device rhel7.4 net11.xml ";" error: Failed to detach device from net11.xml
 error: operation failed: multiple devices matching MAC address 52:54:00:8c:2a:67 found
 
​​";;RedHatEnterpriseLinux7/RHEL-111042
1;;;;;;;;;17;"# virsh detach-interface rhel7.4 network --mac 52:54:00:8c:2a:67
 
 
​​";"error: Domain has multiple interfaces matching MAC address 52:54:00:8c:2a:67. You must use detach-device and specify the device pci address to remove it.
 error: Failed to detach interface";;RedHatEnterpriseLinux7/RHEL-111042
1;;;;;;;;;18;login guest to check the 2 interface still exists;​​;;RedHatEnterpriseLinux7/RHEL-111042
2;RHEL-111045;Reload virtlogd when guest with file-backend chardev is running;"Verify that virtlogd can be reloaded successfully when guest with file-backend chardev is running, and the previous FD is still opened after reloading.
Bug 1430988 - Permission denied when reloading virtlogd";Fangge Jin (fjin);High;Positive;Not Automated;;1;"Set virtlogd as the log handler:
 
 a) Keep the default setting for stdio_handler in /etc/libvirt/qemu.conf.
 
 or 
 b) set stdio_handler=logd:
 # vi /etc/libvirt/qemu.conf
 stdio_handler=logd 
 
 (Re)start libvirtd
 # systemctl restart libvirtd";​​;Test Case;RedHatEnterpriseLinux7/RHEL-111045
2;;;;;;;;;2;Start a guest with file-backend chardev(e.g. file-backend console device);​​;;RedHatEnterpriseLinux7/RHEL-111045
2;;;;;;;;;3;"Check the opened FD of the backend file:
 # lsof /var/log/libvirt/qemu/log 
​​";"Output:
 COMMAND   PID USER   FD   TYPE DEVICE SIZE/OFF NODE NAME
 virtlogd 1520 root   14w   REG  253,0     2333 3426 /var/log/libvirt/qemu/log";;RedHatEnterpriseLinux7/RHEL-111045
2;;;;;;;;;4;"Reload virtlogd:
 # systemctl reload virtlogd";​​;;RedHatEnterpriseLinux7/RHEL-111045
2;;;;;;;;;5;"Check the virtlogd status:
 # systemctl status virtlogd";virtlogd is active;;RedHatEnterpriseLinux7/RHEL-111045
2;;;;;;;;;6;"Check the opened FD of the backend file again:
 # lsof /var/log/libvirt/qemu/log 
​​";"The file is still opened by virtlogd.
 
 Output:
 COMMAND   PID USER   FD   TYPE DEVICE SIZE/OFF NODE NAME
 virtlogd 1520 root   11w   REG  253,0    50652 3426 /var/log/libvirt/qemu/log";;RedHatEnterpriseLinux7/RHEL-111045
2;;;;;;;;;7;"Shutdown guest(to produce some console log) and check the content of backend file:
 1) # tailf /var/log/libvirt/qemu/log
 2) # virsh shutdown $guest";"New console log is recorded in the backend file when guest shuts down.
 
 For example:
 [  OK  ] Deactivated swap /dev/disk/by-id/dm...KSk5woq1L01eXoh1zR5kL80tPAnozRD.
 [  OK  ] Deactivated swap /dev/disk/by-id/dm-name-rhel-swap.
 [  OK  ] Deactivated swap /dev/dm-1.
 [  OK  ] Deactivated swap /dev/mapper/rhel-swap.
 [  OK  ] Unmounted /boot.
 [  OK  ] Reached target Unmount All Filesystems.
 [  OK  ] Stopped target Local File Systems (Pre).
 [  OK  ] Stopped Create Static Device Nodes in /dev.
          Stopping Create Static Device Nodes in /dev...
 [  OK  ] Stopped Remount Root and Kernel File Systems.
          Stopping Remount Root and Kernel File Systems...
 [  OK  ] Reached target Shutdown.
 dracut Warning: Killing all remaining processes
 Powering off.
 [  945.178285] Power down.";;RedHatEnterpriseLinux7/RHEL-111045
3;RHEL-111051;[domifaddr] domifaddr for bridge and network type interface - bug 1600468;"test the virsh command, they should be full supported for bridge type interface 
domiflist domain [--inactive]
domifaddr domain [interface] [--full] [--source lease|agent]
domifstat domain interface-device domifaddr only support the type which get ip address by dnsmasq managed by libvirt, that is network type, for others it will return null";Yalan Zhang (yalzhang);Medium;Positive;Not Automated;;1;" start a guest with bridge and network type interface
 # virsh start rhel7
 Domain rhel7 started
 
 # virsh dumpxml rhel7 | grep /interface -B7
     <interface type='bridge'>
       <mac address='52:54:00:c0:ff:fe'/>
       <source bridge='br0'/>
       <target dev='vnet0'/>
       <model type='virtio'/>
       <alias name='net0'/>
       <address type='pci' domain='0x0000' bus='0x00' slot='0x03' function='0x0'/>
     </interface>
     <interface type='network'>
       <mac address='52:54:00:76:82:b1'/>
       <source network='default' bridge='virbr0'/>
       <target dev='vnet1'/>
       <model type='virtio'/>
       <alias name='net1'/>
       <address type='pci' domain='0x0000' bus='0x00' slot='0x09' function='0x0'/>
     </interface>
 
 # brctl show
 bridge name bridge id STP enabled interfaces
 br0 8000.52540091ce0c no eno1
 vnet0
 virbr0 8000.5254005b50d9 yes virbr0-nic
 vnet1";​​;Test Case;RedHatEnterpriseLinux7/RHEL-111051
3;;;;;;;;;2;" login guest to ensure the 2 interface both get ip address
 (if do not get ip, use dhclient to apply one)
 # ifconfig";" eth0: flags=4163<UP,BROADCAST,RUNNING,MULTICAST>  mtu 1500
         inet 10.66.5.77  netmask 255.255.252.0  broadcast 10.66.7.255
         inet6 fe80::5054:ff:fec0:fffe  prefixlen 64  scopeid 0x20<link>
         ether 52:54:00:c0:ff:fe  txqueuelen 1000  (Ethernet)
         RX packets 279  bytes 23585 (23.0 KiB)
         RX errors 0  dropped 43  overruns 0  frame 0
         TX packets 8  bytes 1632 (1.5 KiB)
         TX errors 0  dropped 0 overruns 0  carrier 0  collisions 0
 
 eth1: flags=4163<UP,BROADCAST,RUNNING,MULTICAST>  mtu 1500
         inet 192.168.122.216  netmask 255.255.255.0  broadcast 192.168.122.255
         inet6 fe80::5054:ff:fe76:82b1  prefixlen 64  scopeid 0x20<link>
         ether 52:54:00:76:82:b1  txqueuelen 1000  (Ethernet)
         RX packets 77  bytes 6535 (6.3 KiB)
         RX errors 0  dropped 5  overruns 0  frame 0
         TX packets 68  bytes 6894 (6.7 KiB)
         TX errors 0  dropped 0 overruns 0  carrier 0  collisions 0";;RedHatEnterpriseLinux7/RHEL-111051
3;;;;;;;;;3;domifaddr;​​;;RedHatEnterpriseLinux7/RHEL-111051
3;;;;;;;;;4;"login guest to set a ip alias for eth1
 IN GUEST:
 # ifconfig eth0:1 173.173.173.173 netmask 255.255.255.0 up

 # ip a show eth0
 2: eth0: <BROADCAST,MULTICAST,UP,LOWER_UP> mtu 1500 qdisc pfifo_fast state UP qlen 1000
     link/ether 52:54:00:c0:ff:fe brd ff:ff:ff:ff:ff:ff
     inet 10.66.70.123/23 brd 10.66.71.255 scope global dynamic eth0
        valid_lft 83997sec preferred_lft 83997sec
     inet 173.173.173.173/24 brd 173.173.173.255 scope global eth0:1
        valid_lft forever preferred_lft forever
     inet6 2620:52:0:4246:5054:ff:fec0:fffe/64 scope global mngtmpaddr dynamic 
        valid_lft 2591977sec preferred_lft 604777sec
     inet6 fe80::5054:ff:fec0:fffe/64 scope link 
        valid_lft forever preferred_lft forever

";" 
";;RedHatEnterpriseLinux7/RHEL-111051
3;;;;;;;;;5;"1. no option
 IN HOST:
 # virsh domifaddr rhel7

 (without option default to --lease)
";"Name       MAC address          Protocol     Address
 -------------------------------------------------------------------------------
  vnet1      52:54:00:76:82:b1    ipv4         192.168.122.216/24

 (only the network type interface list out)";;RedHatEnterpriseLinux7/RHEL-111051
3;;;;;;;;;6;"check the libvirtd log for error
 # grep error /var/log/libvirt/libvirtd.log";"should be no error like:
 ""error : virFileReadAll:1460 : Failed to open file '/var/lib/libvirt/dnsmasq/br0.status': No such file or directory 
 ""
 Bug 1600468 - domifaddr should not query non-existing file for interface from host bridge network";;RedHatEnterpriseLinux7/RHEL-111051
3;;;;;;;;;7;"2. by id
 check other options for domain, interface
 # virsh domid rhel7
 31
 
 # virsh domuuid rhel7
 84f83c75-db81-4205-98dd-2105392ea488
 
 # virsh domifaddr 31 
 
​​";" Name       MAC address          Protocol     Address
 -------------------------------------------------------------------------------
  vnet1      52:54:00:76:82:b1    ipv4         192.168.122.216/24";;RedHatEnterpriseLinux7/RHEL-111051
3;;;;;;;;;8;"3. by uuid
 # virsh domifaddr 84f83c75-db81-4205-98dd-2105392ea488
​​";" Name       MAC address          Protocol     Address
 -------------------------------------------------------------------------------
  vnet1      52:54:00:76:82:b1    ipv4         192.168.122.216/24";;RedHatEnterpriseLinux7/RHEL-111051
3;;;;;;;;;9;"4. by uuid with interface and source lease option
 
 # virsh domifaddr 84f83c75-db81-4205-98dd-2105392ea488  vnet1 --source lease
 
​​";" Name       MAC address          Protocol     Address
 -------------------------------------------------------------------------------
  vnet1      52:54:00:76:82:b1    ipv4         192.168.122.216/24
​​";;RedHatEnterpriseLinux7/RHEL-111051
3;;;;;;;;;10;"5. by uuid with source agent option
 
 # virsh domifaddr 84f83c75-db81-4205-98dd-2105392ea488  --source agent
 
 
 
 
   
​​";" Name       MAC address          Protocol     Address
 -------------------------------------------------------------------------------
  lo         00:00:00:00:00:00    ipv4         127.0.0.1/8
  -          -                    ipv6         ::1/128
  eth0       52:54:00:c0:ff:fe    N/A          N/A
  eth1       52:54:00:76:82:b1    ipv4         192.168.122.216/24
  -          -                    ipv6         fe80::5054:ff:fe76:82b1/64";;RedHatEnterpriseLinux7/RHEL-111051
3;;;;;;;;;11;"6.  by uuid with source agent and interface option
 
 # virsh domifaddr 84f83c75-db81-4205-98dd-2105392ea488 eth0  --source agent";" Name       MAC address          Protocol     Address
 -------------------------------------------------------------------------------
  eth0       52:54:00:c0:ff:fe    N/A          N/A
​​";;RedHatEnterpriseLinux7/RHEL-111051
3;;;;;;;;;12;"8.  # virsh domifaddr rhel7 --source lease

  

";"Name       MAC address          Protocol     Address
 -------------------------------------------------------------------------------
  vnet1      52:54:00:76:82:b1    ipv4         192.168.122.216/24

 (same as step 7)";;RedHatEnterpriseLinux7/RHEL-111051
3;;;;;;;;;13;"9. # virsh domifaddr rhel7 --source agent

 (make sure the guest agent is running or you will not get the result, check by:
 # virsh dumpxml rhel7 | grep -A3 -B3 agent
      <alias name='serial0'/>
     </console>
     <channel type='unix'>
       <source mode='bind' path='/var/lib/libvirt/qemu/channel/target/domain-2-rhel7/org.qemu.guest_agent.0'/>
       <target type='virtio' name='org.qemu.guest_agent.0' state='connected'/>
       <alias name='channel0'/>
       <address type='virtio-serial' controller='0' bus='0' port='1'/>
     </channel>
 )";"Name       MAC address          Protocol     Address
 -------------------------------------------------------------------------------
  lo         00:00:00:00:00:00    ipv4         127.0.0.1/8
  -          -                    ipv6         ::1/128
  eth0       52:54:00:c0:ff:fe    ipv4         10.66.70.123/23
  -          -                    ipv6         2620:52:0:4246:5054:ff:fec0:fffe/64
  -          -                    ipv6         fe80::5054:ff:fec0:fffe/64
  -          -                    ipv4         173.173.173.173/24
  eth1       52:54:00:76:82:b1    ipv4         192.168.122.216/24
  -          -                    ipv6         fe80::5054:ff:fe76:82b1/64


 (return all the interfaces on the guest point of view)
";;RedHatEnterpriseLinux7/RHEL-111051
3;;;;;;;;;14;"10. # virsh domifaddr rhel7 --source agent --full

";" Name       MAC address          Protocol     Address
 -------------------------------------------------------------------------------
  lo         00:00:00:00:00:00    ipv4         127.0.0.1/8
  lo         00:00:00:00:00:00    ipv6         ::1/128
  eth0       52:54:00:c0:ff:fe    ipv4         10.66.70.123/23
  eth0       52:54:00:c0:ff:fe    ipv6         2620:52:0:4246:5054:ff:fec0:fffe/64
  eth0       52:54:00:c0:ff:fe    ipv6         fe80::5054:ff:fec0:fffe/64
  eth0       52:54:00:c0:ff:fe    ipv4         173.173.173.173/24
  eth1       52:54:00:76:82:b1    ipv4         192.168.122.216/24
  eth1       52:54:00:76:82:b1    ipv6         fe80::5054:ff:fe76:82b1/64

 (the full content will be list, not '-' in step 9)";;RedHatEnterpriseLinux7/RHEL-111051
4;RHEL-111053;[domifstat] check interface statistics by domifstat with duplicate mac or unknown interface or unsupported type - bug 1497396;"domifstat: unavailable for some types of interface which don't have representation in the host, only support interface type = bridge/ network / direct
";Yalan Zhang (yalzhang);Low;Negative;Not Automated;;1; domifstat; ;Test Case;RedHatEnterpriseLinux7/RHEL-111053
4;;;;;;;;;2;"1. prepare a running vm with 2 interface share the same mac address
 # virsh dumpxml rhel7 | grep /interface -B7
     <interface type='bridge'>
       <mac address='52:54:00:c0:ff:fe'/>
       <source bridge='br0'/>
       <target dev='vnet0'/>
       <model type='virtio'/>
       <alias name='net0'/>
       <address type='pci' domain='0x0000' bus='0x00' slot='0x03' function='0x0'/>
     </interface>
     <interface type='network'>
       <mac address='52:54:00:c0:ff:fe'/>
       <source network='default' bridge='virbr0'/>
       <target dev='vnet1'/>
       <model type='virtio'/>
       <alias name='net1'/>
       <address type='pci' domain='0x0000' bus='0x00' slot='0x09' function='0x0'/>
     </interface>";​​;;RedHatEnterpriseLinux7/RHEL-111053
4;;;;;;;;;3;"2. by mac with duplicate mac
 # virsh domiflist rhel7 
 Interface  Type       Source     Model       MAC
 -------------------------------------------------------
 vnet0      bridge     br0        virtio      52:54:00:c0:ff:fe
 vnet1      network    default    virtio      52:54:00:c0:ff:fe

 # virsh domifstat rhel7 52:54:00:c0:ff:fe


";"52:54:00:2e:d4:37 rx_bytes 1844
 52:54:00:2e:d4:37 rx_packets 31
 52:54:00:2e:d4:37 rx_errs 0
 52:54:00:2e:d4:37 rx_drop 0
 52:54:00:2e:d4:37 tx_bytes 0
 52:54:00:2e:d4:37 tx_packets 0
 52:54:00:2e:d4:37 tx_errs 0
 52:54:00:2e:d4:37 tx_drop 0
 
 it will also matches the first interface with the mac，
 just as  # virsh domifstat avocado-vt-vm1 vnet";;RedHatEnterpriseLinux7/RHEL-111053
4;;;;;;;;;4;"3. for unknown interface
 # virsh domifstat rhel7 vnet9";"error: Failed to get interface stats rhel7 vnet9
 error: invalid argument: 'vnet9' is not a known interface";;RedHatEnterpriseLinux7/RHEL-111053
4;;;;;;;;;5;"4. attach an user type interface 
 # cat user.xml 
 <interface type='user'>
  <model type='virtio'/>
     <mac address=""00:11:22:33:44:55""/>
 <target dev='user_target'/>
     <ip family='ipv4' address='172.17.2.0' prefix='24'/>
     <ip family='ipv6' address='2001:db8:ac10:fd01::' prefix='64'/>
  </interface>

 # virsh attach-device rhel7 user.xml
 Device attached successfully

 # virsh domiflist rhel7 
 Interface  Type       Source     Model       MAC
 -------------------------------------------------------
 vnet0      bridge     br0        virtio      52:54:00:c0:ff:fe
 vnet1      network    default    virtio      52:54:00:c0:ff:fe
 user_target user       -          virtio      00:11:22:33:44:55

 # virsh domifstat rhel7 00:11:22:33:44:55
";"error: Failed to get interface stats rhel7 00:11:22:33:44:55
 error: internal error: /proc/net/dev: Interface not found";;RedHatEnterpriseLinux7/RHEL-111053
4;;;;;;;;;6;"# virsh domifstat rhel7 user_target
​​";"error: Failed to get interface stats rhel7 user_target
 error: internal error: /proc/net/dev: Interface not found";;RedHatEnterpriseLinux7/RHEL-111053
5;RHEL-111075;"[Vlan]Define the interface with vlan with name ""vlan0001""    --bug 1286890 1447339";"Define the interface with vlan with name ""vlan0001""";Jingjing Shao (jishao);Medium;Positive;Not Automated;;1;" 1.Prepare a  xml file as below
 # cat vlan0001.xml
 <interface type='vlan' name='vlan0001'>
 <start mode='onboot'/>
 <protocol family='ipv4'>
 <ip address='192.168.177.2' prefix='24'/>
 </protocol>
 <vlan tag='1'>
 <interface name='eno1'/>
 </vlan>
 </interface>";​​;Test Case;RedHatEnterpriseLinux7/RHEL-111075
5;;;;;;;;;2;"2.Define the interface 
 # virsh iface-define vlan0001.xml
​​";"Output:
 Interface vlan0001 defined from vlan0001.xml";;RedHatEnterpriseLinux7/RHEL-111075
5;;;;;;;;;3;"3.Check the interface list 
 # virsh iface-list --all
​​";"Output:
  Name                 State      MAC Address
 ---------------------------------------------------
  eno1                 active     44:37:e6:95:03:e4
  lo                   active     00:00:00:00:00:00
  vlan0001             inactive ";;RedHatEnterpriseLinux7/RHEL-111075
5;;;;;;;;;4;"4. Check the dumpxml of interface 
 # virsh iface-dumpxml vlan0001
​​";"Output:
 <interface type='vlan' name='vlan0001'>
   <start mode='onboot'/>
   <protocol family='ipv4'>
     <ip address='192.168.177.2' prefix='24'/>
   </protocol>
   <vlan tag='0001'>
     <interface name='eno1'/>
   </vlan>
 </interface>";;RedHatEnterpriseLinux7/RHEL-111075
5;;;;;;;;;5;"5. Start the interface 
 # virsh iface-start vlan0001
​​";"Output:
 Interface vlan0001 started";;RedHatEnterpriseLinux7/RHEL-111075
5;;;;;;;;;6;"6. Check the dumpxml of interface 
 # virsh iface-dumpxml vlan0001
​​";"Output:
 <interface type='vlan' name='vlan0001'>
   <protocol family='ipv4'>
     <ip address='192.168.177.2' prefix='24'/>
   </protocol>
   <protocol family='ipv6'>
     <ip address='fe80::4637:e6ff:fe95:3e4' prefix='64'/>
   </protocol>
   <link speed='100' state='up'/>
   <vlan tag='1'>
     <interface name='eno1'/>
   </vlan>
 </interface>";;RedHatEnterpriseLinux7/RHEL-111075
6;RHEL-111107;"[Vlan] Define the interface with vlan with name ""eno1.1""    --bug 1286890 1447339";"Define the interface with vlan with name ""eno1.1"" 
";Jingjing Shao (jishao);Medium;Positive;Not Automated;;1;" 1.Prepare a xml file as below
 # cat  eno1.1.xml
 <interface type='vlan' name='eno1.1'>
 <start mode='onboot'/>
 <protocol family='ipv4'>
 <ip address='192.168.177.4' prefix='24'/>
 </protocol>
 <vlan tag='1'>
 <interface name='eno1'/>
 </vlan>
 </interface>
​​";​​;Test Case;RedHatEnterpriseLinux7/RHEL-111107
6;;;;;;;;;2;"2. Define the interface 
 # virsh iface-define eno1.1.xml
​​";"Output:
 Interface vlan1 defined from eno1.1.xml";;RedHatEnterpriseLinux7/RHEL-111107
6;;;;;;;;;3;"2. Check the interface list 
 # virsh iface-list --all
​​";"Output:
 
 Name                 State      MAC Address
 ---------------------------------------------------
  eno1                 active     44:37:e6:95:03:e4
  eno1.1               inactive   
  lo                   active     00:00:00:00:00:00";;RedHatEnterpriseLinux7/RHEL-111107
6;;;;;;;;;4;"3.Check the dumpxml of interface 
 # virsh iface-dumpxml eno1.1
​​";"Output:
 <interface type='vlan' name='eno1.1'>
   <start mode='onboot'/>
   <protocol family='ipv4'>
     <ip address='192.168.177.4' prefix='24'/>
   </protocol>
   <vlan tag='1'>
     <interface name='eno1'/>
   </vlan>
 </interface>";;RedHatEnterpriseLinux7/RHEL-111107
6;;;;;;;;;5;"4. Start the interface  
 # virsh iface-start eno1.1
​​";"Output:
 Interface eno1.1 started";;RedHatEnterpriseLinux7/RHEL-111107
6;;;;;;;;;6;"5. Check the interface list
 # virsh iface-list --all
​​";"Output:
  Name                 State      MAC Address
 ---------------------------------------------------
  eno1                 active     44:37:e6:95:03:e4
  eno1.1               active     44:37:e6:95:03:e4
  lo                   active     00:00:00:00:00:00";;RedHatEnterpriseLinux7/RHEL-111107
7;RHEL-111108;[domif-getlink] domif-getlink, domif-setlink, domiftune, domifstat test while there are duplicate mac - bug 1497396;duplicate mac will report error as it don't know which one is count, the error message should be clear.;Yalan Zhang (yalzhang);Low;Positive;Not Automated;;1;"1. start a guest with 2 interface connected to 2 networks and they share the same mac address
 # virsh dumpxml rhel7 | grep /interface -B9
     </controller>
     <interface type='network'>
       <mac address='52:54:00:11:0c:ff'/>
       <source network='default' bridge='virbr0'/>
       <target dev='vnet0'/>
       <model type='virtio'/>
       <mtu size='9000'/>
       <alias name='net0'/>
       <address type='pci' domain='0x0000' bus='0x00' slot='0x03' function='0x0'/>
     </interface>
     <interface type='network'>
       <mac address='52:54:00:11:0c:ff'/>
       <source network='open' bridge='virbr4'/>
       <target dev='vnet1'/>
       <model type='rtl8139'/>
       <alias name='net1'/>
       <address type='pci' domain='0x0000' bus='0x00' slot='0x0c' function='0x0'/>
     </interface>
";"libvirt will not check if there are 2 interface use the same mac, refer to
 Bug 1538876 - Duplicated interfaces with same MAC will be assigned to same IP in VM (closed not a bug)";Test Case;RedHatEnterpriseLinux7/RHEL-111108
7;;;;;;;;;2;"get the interface name and mac
 # virsh domiflist rhel7
 Interface  Type       Source     Model       MAC
 -------------------------------------------------------
 vnet0      network    default    virtio      52:54:00:11:0c:ff
 vnet1      network    open       rtl8139     52:54:00:11:0c:ff

 # virsh domif-getlink rhel7 vnet0
 vnet0 up
";​​;;RedHatEnterpriseLinux7/RHEL-111108
7;;;;;;;;;3;"2.  domif-getlink by mac will fail
 # virsh domif-getlink rhel7 52:54:00:11:0c:ff";"error: multiple matching interfaces found

 (check the error message is reasonable)";;RedHatEnterpriseLinux7/RHEL-111108
